Name,TotalForce,COP X,COP Y,Velocity X,Velocity Y,time stamp
Chengyi,-4.660313,793.8737,421.053,1403.128,379.9835,2020/10/22 16:04:35
Chengyi,-4.729216,779.8624,411.8319,-700.5615,-461.0519,2020/10/22 16:04:35
Chengyi,-4.907931,754.892,390.7013,-1248.52,-1056.534,2020/10/22 16:04:35
Chengyi,-4.778341,746.9828,409.8757,-395.459,958.7219,2020/10/22 16:04:35
Chengyi,-4.727971,760.5361,409.2838,677.6642,-29.59442,2020/10/22 16:04:35
Chengyi,-4.787624,766.7577,405.9706,311.0779,-165.6586,2020/10/22 16:04:35
Chengyi,-4.939371,762.5086,398.708,-212.4542,-363.1332,2020/10/22 16:04:35
Chengyi,-4.754422,755.18,405.8091,-366.4307,355.0583,2020/10/22 16:04:35
Chengyi,-4.777136,766.0272,406.3883,542.3584,28.95966,2020/10/22 16:04:35
Chengyi,-4.600795,777.9494,420.3219,596.1121,696.6782,2020/10/22 16:04:35
Chengyi,-4.660329,753.5482,421.1446,-1220.059,41.13617,2020/10/22 16:04:35
Chengyi,-4.688943,782.127,416.3392,1428.937,-240.2695,2020/10/22 16:04:35
Chengyi,-4.690617,772.5737,411.6827,-477.6642,-232.8247,2020/10/22 16:04:35
Chengyi,-4.698897,789.2826,415.8178,835.4462,206.7535,2020/10/22 16:04:36
Chengyi,-4.738078,763.2694,409.7044,-1300.659,-305.6686,2020/10/22 16:04:36
Chengyi,-4.702588,774.8658,414.5509,579.8218,242.3218,2020/10/22 16:04:36
Chengyi,-4.925432,780.3655,401.3454,274.9817,-660.2737,2020/10/22 16:04:36
Chengyi,-4.783784,758.4239,396.7601,-1097.079,-229.2648,2020/10/22 16:04:36
Chengyi,-4.72601,771.4273,414.0247,650.1709,863.2294,2020/10/22 16:04:36
Chengyi,-4.843221,756.7247,405.7473,-735.1318,-413.8718,2020/10/22 16:04:36
Chengyi,-4.833505,761.7212,412.2245,249.826,323.8647,2020/10/22 16:04:36
Chengyi,-4.504701,790.1495,428.1467,1421.417,796.1075,2020/10/22 16:04:36
Chengyi,-4.631503,775.2582,418.7357,-744.5648,-470.5475,2020/10/22 16:04:36
Chengyi,-4.803869,788.9941,408.1519,686.795,-529.1931,2020/10/22 16:04:36
Chengyi,-4.766562,764.0093,405.1145,-1249.24,-151.8707,2020/10/22 16:04:36
Chengyi,-4.652952,766.9335,416.7172,146.2067,580.1361,2020/10/22 16:04:36
Chengyi,-4.739768,774.0759,407.0362,357.1198,-484.0515,2020/10/22 16:04:36
Chengyi,-4.660991,780.9536,415.5243,343.8843,424.4049,2020/10/22 16:04:36
Chengyi,-4.708331,777.0769,410.1096,-193.8324,-270.7336,2020/10/22 16:04:36
Chengyi,-4.803508,770.6205,402.953,-322.818,-357.8278,2020/10/22 16:04:36
Chengyi,-4.870785,768.6379,392.6344,-99.1333,-515.9332,2020/10/22 16:04:36
Chengyi,-4.929472,769.8542,388.8156,60.81848,-190.9378,2020/10/22 16:04:36
Chengyi,-4.756245,773.3864,405.5616,176.6052,837.3016,2020/10/22 16:04:36
Chengyi,-4.76525,765.1281,406.1922,-412.912,31.52618,2020/10/22 16:04:36
Chengyi,-4.533157,809.017,433.51,2194.446,1365.891,2020/10/22 16:04:36
Chengyi,-1.02244,3634.898,2350.677,141294.1,95858.38,2020/10/22 16:04:36
Chengyi,1.566371,-2291.404,-1793.071,-296315.1,-207187.4,2020/10/22 16:04:36
Chengyi,1.399848,-2656.007,-1959.386,-18230.14,-8315.735,2020/10/22 16:04:36
Chengyi,1.013142,-3715.629,-2641.742,-52981.11,-34117.82,2020/10/22 16:04:36
Chengyi,1.831962,-2023.274,-1472.799,84617.74,58447.14,2020/10/22 16:04:36
Chengyi,3.821875,-965.2916,-723.9136,52899.14,37444.28,2020/10/22 16:04:36
Chengyi,4.912861,-733.6517,-590.7266,11582,6659.351,2020/10/22 16:04:36
Chengyi,11.31624,-315.6668,-279.4787,20899.25,15562.4,2020/10/22 16:04:36
Chengyi,17.61882,-192.5953,-191.7297,6153.575,4387.45,2020/10/22 16:04:36
Chengyi,21.83768,-149.9369,-163.9394,2132.92,1389.513,2020/10/22 16:04:36
Chengyi,35.01944,-90.1353,-125.2248,2990.08,1935.73,2020/10/22 16:04:36
Chengyi,43.25546,-73.7238,-117.2489,820.575,398.7938,2020/10/22 16:04:36
Chengyi,48.6815,-68.48137,-114.1613,262.1216,154.3831,2020/10/22 16:04:37
Chengyi,52.27824,-65.67035,-111.1936,140.551,148.386,2020/10/22 16:04:37
Chengyi,54.45522,-61.04315,-108.2825,231.3601,145.5524,2020/10/22 16:04:37
Chengyi,55.22639,-61.59886,-106.8087,-27.78549,73.69308,2020/10/22 16:04:37
Chengyi,55.19436,-60.60486,-104.1431,49.69997,133.2756,2020/10/22 16:04:37
Chengyi,55.44321,-60.73256,-103.1205,-6.385231,51.13335,2020/10/22 16:04:37
Chengyi,55.72393,-61.88362,-103.5407,-57.55272,-21.00983,2020/10/22 16:04:37
Chengyi,56.60963,-58.59568,-103.8233,164.3969,-14.1304,2020/10/22 16:04:37
Chengyi,56.00399,-61.76838,-108.3044,-158.6351,-224.0543,2020/10/22 16:04:37
Chengyi,56.13894,-60.31857,-110.2956,72.49088,-99.5636,2020/10/22 16:04:37
Chengyi,57.43737,-58.48526,-111.0795,91.66527,-39.19067,2020/10/22 16:04:37
Chengyi,58.19051,-56.97978,-111.8519,75.27409,-38.62419,2020/10/22 16:04:37
Chengyi,58.09788,-59.19494,-113.9405,-110.758,-104.4292,2020/10/22 16:04:37
Chengyi,58.78426,-58.68074,-116.4923,25.70992,-127.5909,2020/10/22 16:04:37
Chengyi,58.72659,-59.08873,-123.2712,-20.39928,-338.945,2020/10/22 16:04:37
Chengyi,56.78191,-54.55668,-134.6614,226.6022,-569.5092,2020/10/22 16:04:37
Chengyi,58.15531,4.307713,-134.3232,2943.22,16.91208,2020/10/22 16:04:37
Chengyi,72.01332,298.3958,-123.0472,14704.41,563.7997,2020/10/22 16:04:37
Chengyi,65.96014,487.7312,-114.6407,9466.771,420.3224,2020/10/22 16:04:37
Chengyi,60.14241,731.4637,-110.3965,12186.63,212.2143,2020/10/22 16:04:37
Chengyi,58.84634,832.2917,-110.3737,5041.4,1.137924,2020/10/22 16:04:37
Chengyi,59.39811,943.0399,-113.3001,5537.406,-146.3211,2020/10/22 16:04:37
Chengyi,60.31453,989.3197,-114.0307,2313.992,-36.52725,2020/10/22 16:04:37
